48.5	8.54357E-6	8.94965E-6	9.2392E-6	9.362E-6	9.495E-6	1.00497E-5	1.01208E-5	1.04498E-5	1.09561E-5	1.10517E-5	1.14255E-5	1.10825E-5	1.10381E-5	1.08936E-5	1.05621E-5
48	8.35879E-6	8.84861E-6	9.08981E-6	9.1548E-6	9.2545E-6	9.8619E-6	9.9859E-6	1.02784E-5	1.07397E-5	1.08975E-5	1.11592E-5	1.09371E-5	1.08601E-5	1.0762E-5	1.0395E-5
47.5	8.22553E-6	8.67287E-6	8.8963E-6	9.0296E-6	9.1037E-6	9.6789E-6	9.7347E-6	1.00905E-5	1.04961E-5	1.06416E-5	1.10095E-5	1.06942E-5	1.06699E-5	1.06293E-5	1.01882E-5
47	7.9944E-6	8.46336E-6	8.70222E-6	8.81923E-6	8.88844E-6	9.473E-6	9.5586E-6	9.9352E-6	1.03467E-5	1.04393E-5	1.08018E-5	1.05725E-5	1.0556E-5	1.04162E-5	1.00704E-5
46.5	7.83925E-6	8.28652E-6	8.4788E-6	8.65375E-6	8.71524E-6	9.3291E-6	9.3711E-6	9.6842E-6	1.01651E-5	1.02642E-5	1.06314E-5	1.04054E-5	1.03929E-5	1.03123E-5	9.9047E-6
46	7.64597E-6	8.06613E-6	8.32725E-6	8.48532E-6	8.56162E-6	9.0931E-6	9.1358E-6	9.4908E-6	1.00073E-5	1.00755E-5	1.04375E-5	1.02202E-5	1.02426E-5	1.00776E-5	9.7535E-6
45.5	7.5329E-6	7.92583E-6	8.16726E-6	8.30191E-6	8.32647E-6	8.945E-6	8.9781E-6	9.3524E-6	9.7796E-6	9.8958E-6	1.02912E-5	9.9663E-6	1.00666E-5	9.946E-6	9.5834E-6
45	7.35889E-6	7.75328E-6	7.97815E-6	8.1009E-6	8.18542E-6	8.72451E-6	8.81215E-6	9.1257E-6	9.6242E-6	9.6973E-6	1.00969E-5	9.7743E-6	9.8802E-6	9.7431E-6	9.4853E-6
44.5	7.15498E-6	7.58983E-6	7.82027E-6	7.94762E-6	7.98995E-6	8.59676E-6	8.58271E-6	8.94613E-6	9.4278E-6	9.5314E-6	9.9195E-6	9.6118E-6	9.6685E-6	9.5797E-6	9.3161E-6
44	7.01615E-6	7.38587E-6	7.67173E-6	7.68177E-6	7.81128E-6	8.42998E-6	8.39489E-6	8.73488E-6	9.1787E-6	9.3561E-6	9.7186E-6	9.4668E-6	9.5332E-6	9.4434E-6	9.1907E-6
43.5	6.86657E-6	7.26322E-6	7.46565E-6	7.58531E-6	7.71198E-6	8.21097E-6	8.26777E-6	8.53783E-6	9.0152E-6	9.1489E-6	9.5199E-6	9.2798E-6	9.4073E-6	9.263E-6	8.99308E-6
43	6.69421E-6	7.06707E-6	7.33406E-6	7.35968E-6	7.48259E-6	8.04119E-6	8.10188E-6	8.41005E-6	8.88452E-6	9.0463E-6	9.3522E-6	9.1509E-6	9.2135E-6	9.1699E-6	8.8643E-6
42.5	6.54659E-6	6.9538E-6	7.14842E-6	7.20824E-6	7.33623E-6	7.82028E-6	7.90762E-6	8.26416E-6	8.72088E-6	8.92314E-6	9.1794E-6	8.9578E-6	9.0514E-6	9.026E-6	8.75092E-6
