0.54	5.50E-11	-5.40E-12	-4.90E-12	-4.20E-12	1.60E-12	2.00E-11	8.40E-11	1.87E-10	6.28E-10	8.80E-10	1.37E-09	2.25E-09	2.08E-09	3.18E-09	3.58E-09	2.69E-09
0.52	5.50E-11	-5.30E-12	-4.40E-12	-4.20E-12	1.40E-12	1.70E-11	8.70E-11	1.82E-10	6.00E-10	8.58E-10	1.36E-09	2.22E-09	1.97E-09	3.07E-09	3.45E-09	2.59E-09
0.5	5.40E-11	-5.30E-12	-4.50E-12	-4.20E-12	5.00E-13	1.40E-11	8.60E-11	1.79E-10	5.79E-10	8.33E-10	1.32E-09	2.11E-09	1.88E-09	2.97E-09	3.28E-09	2.57E-09
0.48	5.70E-11	-5.20E-12	-4.70E-12	-4.30E-12	8.00E-13	1.60E-11	8.30E-11	1.72E-10	5.56E-10	7.96E-10	1.26E-09	2.02E-09	1.83E-09	2.84E-09	3.10E-09	2.39E-09
0.46	5.50E-11	-5.10E-12	-4.70E-12	-4.20E-12	7.00E-13	1.20E-11	8.10E-11	1.67E-10	5.37E-10	7.69E-10	1.19E-09	1.95E-09	1.72E-09	2.73E-09	2.99E-09	2.35E-09
0.44	5.60E-11	-5.40E-12	-4.90E-12	-4.70E-12	9.00E-13	1.20E-11	7.50E-11	1.59E-10	5.09E-10	7.38E-10	1.15E-09	1.84E-09	1.67E-09	2.61E-09	2.86E-09	2.20E-09
0.42	5.40E-11	-5.20E-12	-4.70E-12	-4.10E-12	7.00E-13	1.30E-11	7.90E-11	1.54E-10	4.81E-10	6.93E-10	1.09E-09	1.76E-09	1.56E-09	2.53E-09	2.72E-09	2.16E-09
0.4	5.70E-11	-5.30E-12	-5.00E-12	-4.40E-12	4.00E-13	1.20E-11	7.60E-11	1.43E-10	4.58E-10	6.64E-10	1.04E-09	1.69E-09	1.51E-09	2.43E-09	2.56E-09	2.12E-09
0.38	5.60E-11	-5.50E-12	-4.90E-12	-5.00E-12	5.00E-13	1.10E-11	7.70E-11	1.47E-10	4.39E-10	6.31E-10	9.84E-10	1.60E-09	1.41E-09	2.30E-09	2.48E-09	2.01E-09
0.36	5.60E-11	-5.80E-12	-5.00E-12	-4.80E-12	-1.30E-12	1.20E-11	7.60E-11	1.38E-10	4.17E-10	6.00E-10	9.44E-10	1.49E-09	1.36E-09	2.21E-09	2.35E-09	1.88E-09
0.34	5.60E-11	-5.40E-12	-5.00E-12	-4.70E-12	-1.10E-12	1.20E-11	7.60E-11	1.36E-10	3.94E-10	5.66E-10	8.82E-10	1.44E-09	1.27E-09	2.12E-09	2.24E-09	1.74E-09
0.32	5.40E-11	-5.40E-12	-4.90E-12	-4.80E-12	-1.60E-12	1.10E-11	7.30E-11	1.28E-10	3.71E-10	5.32E-10	8.33E-10	1.34E-09	1.21E-09	1.94E-09	2.10E-09	1.68E-09
0.3	5.40E-11	-5.50E-12	-4.80E-12	-4.70E-12	-2.40E-12	9.00E-12	7.00E-11	1.22E-10	3.49E-10	4.99E-10	7.85E-10	1.26E-09	1.14E-09	1.81E-09	1.98E-09	1.57E-09
0.28	5.60E-11	-5.30E-12	-5.00E-12	-5.50E-12	-2.20E-12	8.00E-12	6.90E-11	1.20E-10	3.27E-10	4.71E-10	7.15E-10	1.18E-09	1.07E-09	1.69E-09	1.90E-09	1.45E-09
0.26	5.50E-11	-5.60E-12	-5.10E-12	-5.30E-12	-3.00E-12	7.00E-12	6.90E-11	1.12E-10	3.09E-10	4.35E-10	6.78E-10	1.10E-09	1.01E-09	1.54E-09	1.79E-09	1.40E-09
0.24	5.90E-11	-5.50E-12	-4.90E-12	-5.30E-12	-2.90E-12	7.00E-12	6.20E-11	1.03E-10	2.84E-10	4.06E-10	6.27E-10	1.02E-09	9.33E-10	1.46E-09	1.62E-09	1.28E-09
0.22	5.70E-11	-5.50E-12	-5.10E-12	-5.50E-12	-3.20E-12	7.00E-12	6.20E-11	1.01E-10	2.64E-10	3.80E-10	5.77E-10	9.22E-10	8.62E-10	1.36E-09	1.48E-09	1.17E-09
0.2	6.00E-11	-5.50E-12	-5.00E-12	-5.40E-12	-3.20E-12	5.00E-12	5.90E-11	9.50E-11	2.50E-10	3.41E-10	5.32E-10	8.48E-10	7.85E-10	1.24E-09	1.30E-09	1.07E-09
0.18	5.60E-11	-5.60E-12	-5.10E-12	-5.20E-12	-3.50E-12	4.00E-12	6.00E-11	8.70E-11	2.26E-10	3.09E-10	4.88E-10	7.63E-10	7.11E-10	1.11E-09	1.22E-09	9.66E-10
0.16	5.90E-11	-6.00E-12	-5.00E-12	-5.90E-12	-3.70E-12	8.00E-12	6.40E-11	8.50E-11	2.08E-10	2.77E-10	4.39E-10	6.82E-10	6.49E-10	9.83E-10	1.06E-09	8.77E-10
0.14	6.00E-11	-5.50E-12	-5.00E-12	-5.50E-12	-3.70E-12	5.00E-12	6.00E-11	7.90E-11	1.88E-10	2.46E-10	3.92E-10	6.07E-10	5.80E-10	8.78E-10	9.53E-10	7.90E-10
0.12	5.60E-11	-5.80E-12	-5.40E-12	-5.40E-12	-3.60E-12	6.00E-12	5.70E-11	7.70E-11	1.66E-10	2.22E-10	3.39E-10	5.32E-10	4.94E-10	7.71E-10	8.25E-10	6.94E-10
0.1	5.40E-11	-5.70E-12	-5.20E-12	-5.60E-12	-3.80E-12	2.00E-12	5.50E-11	7.20E-11	1.49E-10	1.92E-10	2.90E-10	4.43E-10	4.22E-10	6.35E-10	6.90E-10	5.87E-10
0.08	5.70E-11	-5.70E-12	-4.90E-12	-5.50E-12	-4.10E-12	3.00E-12	5.50E-11	6.80E-11	1.30E-10	1.65E-10	2.43E-10	3.72E-10	3.45E-10	5.20E-10	5.68E-10	4.78E-10
0.06	5.70E-11	-5.60E-12	-5.00E-12	-5.50E-12	-5.00E-12	4.00E-12	5.20E-11	6.20E-11	1.11E-10	1.38E-10	1.95E-10	2.91E-10	2.65E-10	3.96E-10	4.19E-10	3.71E-10
0.04	5.30E-11	-5.60E-12	-5.20E-12	-5.50E-12	-5.10E-12	4.00E-12	5.10E-11	5.80E-11	8.90E-11	1.09E-10	1.45E-10	2.13E-10	1.90E-10	2.78E-10	2.98E-10	2.56E-10
0.02	5.40E-11	-5.50E-12	-5.50E-12	-5.30E-12	-5.40E-12	6.46E-27	4.80E-11	5.30E-11	6.80E-11	7.80E-11	9.80E-11	1.33E-10	1.15E-10	1.62E-10	1.73E-10	1.58E-10
0	5.50E-11	-5.70E-12	-5.30E-12	-5.60E-12	-5.50E-12	3.00E-12	4.80E-11	4.50E-11	4.90E-11	4.60E-11	4.80E-11	5.30E-11	4.10E-11	4.50E-11	4.50E-11	5.30E-11
-0.02	5.50E-11	-5.50E-12	-5.50E-12	-5.70E-12	-5.00E-12	2.00E-12	4.60E-11	3.80E-11	2.60E-11	2.30E-11	2.00E-12	-3.30E-11	-3.10E-11	-8.20E-11	-8.40E-11	-4.90E-11
-0.04	5.20E-11	-5.50E-12	-5.30E-12	-5.70E-12	-5.10E-12	6.46E-27	4.90E-11	3.40E-11	4.00E-12	-9.00E-12	-4.80E-11	-1.14E-10	-1.05E-10	-2.02E-10	-2.10E-10	-1.59E-10
