60	0.218	0.2187
55.2	0.164	0.8369
50.4	0.1579	0.8639
45.6	0.1528	0.8548
40.8	0.1467	0.9074
36	0.1396	0.9395
31.2	0.1347	0.9881
26.4	0.1282	1.0338
21.6	0.12035	1.08819
16.8	0.1091	1.223
12	0.09713	1.367
7.20000000000002	0.0856	1.54
2.40000000000003	0.0736	1.897
-2.39999999999997	0.0573	2.628
-7.19999999999997	0.0254	7.26
-12	-0.0126	8.64
-16.8	-0.0896	8.16
-21.6	-0.255	7.85
-26.4	-0.409	7.34
-31.2	-0.0899	6.66
-36	0.1499	6.22
-40.7999999999999	0.205	5.25
-45.5999999999999	0.2156	1.504
-50.3999999999999	0.2123	0.08
-55.1999999999999	0.21043	0.19
-59.9999999999999	0.2071	0.13
